City,AQI,PM2.5,PM10,NO2,CO,SO2,O3,Temperature (°C),Humidity (%),Wind Speed (km/h),Rainfall (mm),Pressure (hPa),Vehicle Count,Industrial Activity Index,Health Impact Score
Rajkot,59,227.411136959745,160.372399197351,44.8206030809863,5.98561732109939,37.1251965862574,58.0639914522546,11.9233330877256,64.4249800860711,12.9214052028896,14.4739554008166,976.426573372497,198941,4.86227212694368,10
Bangalore,443,219.714244906936,279.801260334821,78.1750101362174,5.0619805397674,27.1365552060447,40.7775256978651,16.7382524086759,23.1123643556493,19.4054085010945,34.7900479562868,1022.47140890336,35588,5.26053835896204,10
Bhopal,56,94.8492594897479,262.324427234112,70.0180543809768,6.58932700020812,34.6270939088728,42.7269367341402,30.388482347764,63.6343928522119,13.4129976107944,194.360799360903,984.56247808314,430785,3.799078985935,10
Srinagar,342,120.98328748013,213.374288802483,71.8426152633016,4.44304884719654,32.2976184771212,97.02049922069,32.6946054437481,69.6556148871015,19.2252247913496,233.854740899461,950.20930392811,209382,4.42670617981306,10
Hyderabad,492,184.262288122492,165.108730724117,16.1677751128715,0.553948958749188,6.72257220973473,22.8230652906561,12.5149163170931,93.2217302166796,10.3680301615951,91.7519659236148,1021.43226311312,257650,9.34990860087128,10
Bangalore,235,73.8795886149498,115.747148198764,68.0565385733836,7.36893888910543,36.6511384518965,44.7769377278502,41.1967548047881,65.3374358856741,18.4350469894327,105.305808503344,976.937230670354,224226,8.20208320583109,10
Jaipur,421,146.417635393184,180.379474947054,26.1583057425272,8.98347513427244,4.55478592595782,72.088184666545,14.8571566860547,74.6703121447174,10.3724269519259,196.862519132657,954.94987960144,319401,8.23879179805238,10
Nashik,476,125.852964621248,43.9240024771994,61.0361470433283,9.9123134285519,9.93766998625826,8.62911977902103,29.0255909843532,74.9491792995449,18.1566704440829,136.703768584068,1029.04182583019,427481,1.70002064438336,10
Chennai,183,219.923659970947,144.947796214676,55.0094327989409,4.56539666676006,13.3347532156551,54.4319119581801,14.5915235959443,22.3172722870149,18.4245773081049,23.2761325726564,999.39663358001,460041,5.44433972764483,10
Srinagar,259,24.7833300241911,149.919633906681,41.9452787194013,5.27155213399933,39.2278695215126,91.4447901524594,15.1833778578134,28.1289948539011,14.4838460562872,181.31322725516,1024.13558514498,50780,8.9224554396939,10
Nashik,79,91.4218550353841,257.739378503529,71.2139799395106,7.80144465658047,45.9366835035594,29.1986780731517,37.8546704455411,97.7337106050892,19.720411624309,102.31619209525,1018.00644984807,44237,8.80168168036904,10
Bangalore,228,134.171194797227,171.521730483633,21.9402218634098,8.9589837999501,7.61328718695575,11.383841019622,10.3802417041382,68.9984292199459,4.46514414103813,205.66516438772,988.675912664619,430157,3.19845782719992,10
Rajkot,117,169.746789746325,156.953581908415,26.9262685049364,0.164149961052411,7.88204243487636,19.5876732727158,40.6988257369834,23.5642347683978,0.51780089920727,15.2641421572694,973.177854806418,483497,1.70051375733683,10
Nashik,459,226.681749436313,77.6636498921407,11.3057782656131,8.84446932560037,22.750410405235,38.942403641782,10.7021148557095,46.5446478289031,17.037315994831,112.949116244184,1032.25340199244,294754,2.75357932840577,10
Vadodara,168,63.7488083409805,112.826832155343,66.2341207798762,4.87732117350079,31.1885956106106,97.1541234282951,11.9189206309956,65.8582864390617,8.99311698560683,83.7931963002275,976.968276432898,269102,8.59033151912929,10
Chennai,103,90.7413946548063,210.166773873712,31.5988234811961,8.96798760533399,30.1684432347118,71.1566294805246,23.0650409149551,59.4004191758088,12.014885135273,170.786409104982,1028.91717204719,286332,7.35733448842124,10
